trait,n_samples,comp_wR2,comp_wRMSE,OD_R2,OD_RMSE
r_gompertz,172,0.437,0.222,0.882,0.099
r_loglinear,172,0.299,0.248,0.893,0.094
lag_time,123,0.078,0.285,0.769,0.119
carrying_capacity_log10nmax,123,0.105,0.281,0.554,0.165
