"Id","Rep","SalinityLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I22","1",0,"5.5","fits_buchanan_without_lag",24.0065537106546,"log10_nmax",-0.826137966350907,0.0861268479186151,-9.59210729657215,1.02496638416038e-08
"I22","1",0,"5.5","fits_buchanan_without_lag",24.0065537106546,"log10_n0",-1.29927938209566,0.248974959468026,-5.21851428300973,4.89131792027458e-05
"I22","1",0,"5.5","fits_buchanan_without_lag",24.0065537106546,"mumax",0.00236836596476749,0.00192885962465599,1.22785812637344,0.234495061446953
"I22","1",5,"5.5","fits_baranyi_without_lag",-0.00957918833481308,"log10_nmax",-0.650282625282912,0.0671481053635937,-9.68430340307831,9.60601530802988e-11
"I22","1",5,"5.5","fits_baranyi_without_lag",-0.00957918833481308,"log10_n0",-1.35474564006614,0.112386405764884,-12.0543550694228,4.98388898692712e-13
"I22","1",5,"5.5","fits_baranyi_without_lag",-0.00957918833481308,"mumax",0.00285010654292697,0.00100152548305501,2.84576537606726,0.00791267490258591
"I22","1",10,"5.5","fits_baranyi_without_lag",-31.3328079994498,"log10_nmax",-0.567451054529652,0.0408758486935737,-13.8823063658826,4.44973114667673e-14
"I22","1",10,"5.5","fits_baranyi_without_lag",-31.3328079994498,"log10_n0",-1.36450892799903,0.069133480398898,-19.7373099130241,5.73652938596214e-18
"I22","1",10,"5.5","fits_baranyi_without_lag",-31.3328079994498,"mumax",0.00338624650808419,0.000641325048765629,5.28007835434117,1.29010920458967e-05
"I22","1",15,"5.5","fits_baranyi_without_lag",-37.6585815482954,"log10_nmax",-0.575795398377801,0.0354710089029321,-16.2328452498627,8.91353007432811e-16
"I22","1",15,"5.5","fits_baranyi_without_lag",-37.6585815482954,"log10_n0",-1.37379184727324,0.0637772980804387,-21.5404523023311,5.74314309288944e-19
"I22","1",15,"5.5","fits_baranyi_without_lag",-37.6585815482954,"mumax",0.00365597092459218,0.000630248907444789,5.80083659234658,3.1317334787072e-06
"I22","1",20,"5.5","fits_buchanan_without_lag",-26.9730408286869,"log10_nmax",-0.601445120854572,0.0342678027143928,-17.5513185326575,1.20961954598316e-16
"I22","1",20,"5.5","fits_buchanan_without_lag",-26.9730408286869,"log10_n0",-1.34538020162882,0.0675922410623206,-19.9043585548283,4.59997136894607e-18
"I22","1",20,"5.5","fits_buchanan_without_lag",-26.9730408286869,"mumax",0.00214788555975958,0.000370324166244946,5.80001456977261,3.13870337094985e-06
"I22","1",25,"5.5","fits_buchanan_without_lag",-26.4945115128159,"log10_nmax",-0.588555843253226,0.0367635185136011,-16.0092359776576,1.26724336855531e-15
"I22","1",25,"5.5","fits_buchanan_without_lag",-26.4945115128159,"log10_n0",-1.30188008360694,0.0644642667036595,-20.1953756736526,3.14313404360351e-18
"I22","1",25,"5.5","fits_buchanan_without_lag",-26.4945115128159,"mumax",0.00193479918745599,0.000303223603686048,6.38076707728612,6.61033062692264e-07
"I22","1",30,"5.5","fits_baranyi_without_lag",-16.204414751154,"log10_nmax",-0.568318165442053,0.0569051090989982,-9.98712021539834,9.90252249235208e-11
"I22","1",30,"5.5","fits_baranyi_without_lag",-16.204414751154,"log10_n0",-1.37795686447763,0.0845800642037042,-16.2917453119796,8.12987233427679e-16
"I22","1",30,"5.5","fits_baranyi_without_lag",-16.204414751154,"mumax",0.00293486515560468,0.000691813531510382,4.24227775539055,0.000218761814783412
"I22","1",35,"5.5","fits_buchanan_without_lag",-9.13017730485222,"log10_nmax",-0.620613279245504,0.0543833605869787,-11.4118228911749,4.82937665519186e-12
"I22","1",35,"5.5","fits_buchanan_without_lag",-9.13017730485222,"log10_n0",-1.33337878192632,0.0810901221618056,-16.4431714539254,6.42501506455444e-16
"I22","1",35,"5.5","fits_buchanan_without_lag",-9.13017730485222,"mumax",0.00153383478715886,0.000333585599766023,4.59802457970216,8.31802416630491e-05
"I22","2",0,"5.5","fits_buchanan_without_lag",20.5195383118032,"log10_nmax",-0.547683047953684,0.187400169658894,-2.92253229519791,0.00841928263664315
"I22","2",0,"5.5","fits_buchanan_without_lag",20.5195383118032,"log10_n0",-1.19977050454956,0.135890082762009,-8.8289776572642,2.45964469031352e-08
"I22","2",0,"5.5","fits_buchanan_without_lag",20.5195383118032,"mumax",0.00072380150194948,0.000305373462603511,2.3702174241946,0.0279433853401737
"I22","2",5,"5.5","fits_buchanan_without_lag",4.78514389756326,"log10_nmax",-0.654825628881107,0.0655086261128755,-9.99602140568177,6.65971224052818e-11
"I22","2",5,"5.5","fits_buchanan_without_lag",4.78514389756326,"log10_n0",-1.29751925780194,0.100481334199202,-12.9130377113588,1.49491839385049e-13
"I22","2",5,"5.5","fits_buchanan_without_lag",4.78514389756326,"mumax",0.00138304370291224,0.000409252398053755,3.379439459584,0.00208939834871379
"I22","2",10,"5.5","fits_baranyi_without_lag",-31.5560740612605,"log10_nmax",-0.558945704032339,0.0413225735461797,-13.5264010942516,8.40475363110974e-14
"I22","2",10,"5.5","fits_baranyi_without_lag",-31.5560740612605,"log10_n0",-1.36874190338466,0.0682293131547244,-20.060906963562,3.74562251922985e-18
"I22","2",10,"5.5","fits_baranyi_without_lag",-31.5560740612605,"mumax",0.00331132294882353,0.000611966783690752,5.41095209261693,9.02825540167955e-06
"I22","2",15,"5.5","fits_baranyi_without_lag",-37.3480030593695,"log10_nmax",-0.563546266015587,0.036268807424461,-15.5380423574532,2.69525179585948e-15
"I22","2",15,"5.5","fits_baranyi_without_lag",-37.3480030593695,"log10_n0",-1.38278939039186,0.063251162878719,-21.8618809118702,3.87977772219667e-19
"I22","2",15,"5.5","fits_baranyi_without_lag",-37.3480030593695,"mumax",0.003557830380141,0.000595075094357022,5.97879227996466,1.93754092231343e-06
"I22","2",20,"5.5","fits_buchanan_without_lag",-35.8369951576401,"log10_nmax",-0.590528792095826,0.0297027375073425,-19.8812918152695,4.74192535166759e-18
"I22","2",20,"5.5","fits_buchanan_without_lag",-35.8369951576401,"log10_n0",-1.35868542080854,0.0585877834983011,-23.190592640323,8.0843895852271e-20
"I22","2",20,"5.5","fits_buchanan_without_lag",-35.8369951576401,"mumax",0.00223622999560697,0.000320990571116112,6.96665321922513,1.4177849666212e-07
"I22","2",25,"5.5","fits_baranyi_without_lag",-42.747694660049,"log10_nmax",-0.544819880182131,0.0341296861600968,-15.9632256102933,1.36306716070279e-15
"I22","2",25,"5.5","fits_baranyi_without_lag",-42.747694660049,"log10_n0",-1.35668719591735,0.0572488257344079,-23.6980790175745,4.53679405868175e-20
"I22","2",25,"5.5","fits_baranyi_without_lag",-42.747694660049,"mumax",0.00337849085741156,0.000520590697573145,6.48972575415038,4.95132194525463e-07
"I22","2",30,"5.5","fits_baranyi_without_lag",-23.6996179344504,"log10_nmax",-0.546562169326628,0.0516525372502968,-10.5815163866609,2.72387595983744e-11
"I22","2",30,"5.5","fits_baranyi_without_lag",-23.6996179344504,"log10_n0",-1.37800190039242,0.0739459547219816,-18.6352574062146,2.56752846639439e-17
"I22","2",30,"5.5","fits_baranyi_without_lag",-23.6996179344504,"mumax",0.00284957004868414,0.000577339491258696,4.93569224317498,3.30651893213236e-05
"I22","2",35,"5.5","fits_baranyi_without_lag",-12.8881704215996,"log10_nmax",-0.573084959196632,0.0657881715047887,-8.71106379898273,1.84543375281058e-09
"I22","2",35,"5.5","fits_baranyi_without_lag",-12.8881704215996,"log10_n0",-1.36449420772408,0.0865151813122873,-15.771731469865,1.84957253320244e-15
"I22","2",35,"5.5","fits_baranyi_without_lag",-12.8881704215996,"mumax",0.00256201742911242,0.000659212997946138,3.88647893335646,0.000569242355612895
"I22","3",0,"5.5","fits_baranyi_without_lag",17.6826935801399,"log10_nmax",-0.479605099776873,0.366405395962862,-1.30894660684933,0.207017828572754
"I22","3",0,"5.5","fits_baranyi_without_lag",17.6826935801399,"log10_n0",-1.12912264292712,0.172424837497033,-6.54849184907335,3.7382149260446e-06
"I22","3",0,"5.5","fits_baranyi_without_lag",17.6826935801399,"mumax",0.000998937445789534,0.000966646850531707,1.0334047488388,0.315100139915708
"I22","3",5,"5.5","fits_buchanan_without_lag",7.25468784689183,"log10_nmax",-0.674219189918487,0.0656091038893087,-10.2763054202963,3.54339137757075e-11
"I22","3",5,"5.5","fits_buchanan_without_lag",7.25468784689183,"log10_n0",-1.29038152635418,0.105657557928558,-12.2128653326125,5.90371231345941e-13
"I22","3",5,"5.5","fits_buchanan_without_lag",7.25468784689183,"mumax",0.00135568286243069,0.000434650223373747,3.11902028235004,0.00407728869479673
"I22","3",10,"5.5","fits_baranyi_without_lag",-34.4973159015265,"log10_nmax",-0.557931708176637,0.0395731638761716,-14.0987389818631,3.04073446711735e-14
"I22","3",10,"5.5","fits_baranyi_without_lag",-34.4973159015265,"log10_n0",-1.35349618372269,0.0650972196263438,-20.7919200158121,1.46138878611489e-18
"I22","3",10,"5.5","fits_baranyi_without_lag",-34.4973159015265,"mumax",0.00327226846377979,0.000588470640928211,5.56063163766055,6.00714681323721e-06
"I22","3",15,"5.5","fits_baranyi_without_lag",-42.78991039217,"log10_nmax",-0.560593744412541,0.0331815706938898,-16.8947320060341,3.21811400028913e-16
"I22","3",15,"5.5","fits_baranyi_without_lag",-42.78991039217,"log10_n0",-1.38233613727542,0.057948857658309,-23.8544156543388,3.80574130719272e-20
"I22","3",15,"5.5","fits_baranyi_without_lag",-42.78991039217,"mumax",0.00356878239141142,0.000544967404994504,6.54861622677674,4.23740011187802e-07
