"Id","Rep","SalinityLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I15","1",0,"5.5","fits_baranyi_without_lag",-27.6492009977281,"log10_nmax",-0.409218801427823,0.0538314291398207,-7.60185653561093,1.77434218751157e-08
"I15","1",0,"5.5","fits_baranyi_without_lag",-27.6492009977281,"log10_n0",-1.38577761455562,0.0663555602108996,-20.8841219959739,2.0056667939257e-19
"I15","1",0,"5.5","fits_baranyi_without_lag",-27.6492009977281,"mumax",0.00230321773621974,0.000373315608299004,6.16962614211134,8.68659832719156e-07
"I15","1",5,"5.5","fits_baranyi_without_lag",-95.4881370591028,"log10_nmax",-0.409987403010001,0.0164967382493768,-24.8526343094211,1.43245754493498e-21
"I15","1",5,"5.5","fits_baranyi_without_lag",-95.4881370591028,"log10_n0",-1.37045898837396,0.0253885782378092,-53.979351483851,1.927993192501e-31
"I15","1",5,"5.5","fits_baranyi_without_lag",-95.4881370591028,"mumax",0.00285748270589275,0.000167073233773505,17.1031747058091,5.10596226532354e-17
"I15","1",10,"5.5","fits_baranyi_without_lag",-96.7975327367726,"log10_nmax",-0.402232157153553,0.0150007045198909,-26.8142177335867,1.61303815910346e-22
"I15","1",10,"5.5","fits_baranyi_without_lag",-96.7975327367726,"log10_n0",-1.38530496088155,0.0258290592403503,-53.6335817727892,2.3334551471736e-31
"I15","1",10,"5.5","fits_baranyi_without_lag",-96.7975327367726,"mumax",0.00329888400009858,0.000185405349771036,17.7928199168605,1.72912459280757e-17
"I15","1",15,"5.5","fits_baranyi_without_lag",-106.425168951625,"log10_nmax",-0.425634076812434,0.0126302357777187,-33.6996145046877,2.10514918008714e-25
"I15","1",15,"5.5","fits_baranyi_without_lag",-106.425168951625,"log10_n0",-1.31614591068063,0.0230644101723327,-57.0639310022083,3.69703509009032e-32
"I15","1",15,"5.5","fits_baranyi_without_lag",-106.425168951625,"mumax",0.00338247107841759,0.000185720424376412,18.21270379806,9.09677798907498e-18
"I15","1",20,"5.5","fits_baranyi_without_lag",-118.496944935721,"log10_nmax",-0.42290311651519,0.0109331497424505,-38.6808126182678,3.68489188438519e-27
"I15","1",20,"5.5","fits_baranyi_without_lag",-118.496944935721,"log10_n0",-1.32370160022348,0.0187215653657963,-70.704643247505,6.24285436379761e-35
"I15","1",20,"5.5","fits_baranyi_without_lag",-118.496944935721,"mumax",0.00313915487453506,0.000140402618629192,22.3582359444853,2.92166100651943e-20
"I15","1",25,"5.5","fits_baranyi_without_lag",-67.4696501281992,"log10_nmax",-0.512434061954702,0.0234548968895502,-21.8476365241667,5.62013959058486e-20
"I15","1",25,"5.5","fits_baranyi_without_lag",-67.4696501281992,"log10_n0",-1.3982728416068,0.040909629871377,-34.17955249175,1.39178056013998e-25
"I15","1",25,"5.5","fits_baranyi_without_lag",-67.4696501281992,"mumax",0.00318545917538029,0.000315352212643265,10.1012742186901,3.61633363152654e-11
"I15","1",30,"5.5","fits_baranyi_without_lag",-54.2606304844057,"log10_nmax",-0.569821120126115,0.0305119512066598,-18.6753418772425,4.5470730183962e-18
"I15","1",30,"5.5","fits_baranyi_without_lag",-54.2606304844057,"log10_n0",-1.37953953377293,0.0489671207937856,-28.1727720848151,3.86855076520627e-23
"I15","1",30,"5.5","fits_baranyi_without_lag",-54.2606304844057,"mumax",0.00277195689449459,0.000369779159987156,7.49624963881379,2.34613651207431e-08
"I15","1",35,"5.5","fits_baranyi_without_lag",-15.5702595916721,"log10_nmax",-0.60979247504574,0.0701559419216617,-8.69195763527276,1.07663526204546e-09
"I15","1",35,"5.5","fits_baranyi_without_lag",-15.5702595916721,"log10_n0",-1.40735118746021,0.0800434524641228,-17.582339893335,2.39730944068794e-17
"I15","1",35,"5.5","fits_baranyi_without_lag",-15.5702595916721,"mumax",0.00196960101139335,0.000494361444504706,3.9841315160948,0.000398859701281803
"I15","2",0,"5.5","fits_baranyi_without_lag",-50.5748712566018,"log10_nmax",-0.439421544163392,0.0438364139222738,-10.0241216113738,4.32546998385968e-11
"I15","2",0,"5.5","fits_baranyi_without_lag",-50.5748712566018,"log10_n0",-1.35427297570191,0.0452581515374531,-29.9232940298322,6.73465140804533e-24
"I15","2",0,"5.5","fits_baranyi_without_lag",-50.5748712566018,"mumax",0.00192336169200721,0.000243934712548613,7.88473961705597,8.4522094195699e-09
"I15","2",5,"5.5","fits_baranyi_without_lag",-97.1897164199956,"log10_nmax",-0.402497772395097,0.016286435463593,-24.7136811056568,1.68203725376528e-21
"I15","2",5,"5.5","fits_baranyi_without_lag",-97.1897164199956,"log10_n0",-1.34886931830155,0.024647929836015,-54.7254608105309,1.28231447602094e-31
"I15","2",5,"5.5","fits_baranyi_without_lag",-97.1897164199956,"mumax",0.00278508653497998,0.000161465027054205,17.2488531156967,4.05001022415723e-17
"I15","2",10,"5.5","fits_baranyi_without_lag",-95.3169664274736,"log10_nmax",-0.384714782416872,0.015534079319546,-24.7658567014524,1.58344129916013e-21
"I15","2",10,"5.5","fits_baranyi_without_lag",-95.3169664274736,"log10_n0",-1.38831298807543,0.0261297575387087,-53.1314914047242,3.0853645176197e-31
"I15","2",10,"5.5","fits_baranyi_without_lag",-95.3169664274736,"mumax",0.00323969095785591,0.00018131409752169,17.8678381997757,1.54024292752459e-17
"I15","2",15,"5.5","fits_baranyi_without_lag",-102.744595551537,"log10_nmax",-0.427344230069321,0.0133809219565138,-31.9368300224852,1.0112954616906e-24
"I15","2",15,"5.5","fits_baranyi_without_lag",-102.744595551537,"log10_n0",-1.32389541797225,0.0243292211291741,-54.4158570035239,1.51774547186167e-31
"I15","2",15,"5.5","fits_baranyi_without_lag",-102.744595551537,"mumax",0.00337473589255689,0.000194268251975424,17.3715254975569,3.3363072886009e-17
"I15","2",20,"5.5","fits_baranyi_without_lag",-108.896628556405,"log10_nmax",-0.444928070062982,0.0125974791338023,-35.318817783879,5.3261632858727e-26
"I15","2",20,"5.5","fits_baranyi_without_lag",-108.896628556405,"log10_n0",-1.32550167409392,0.0217805476263248,-60.8571325585894,5.4490577034289e-33
"I15","2",20,"5.5","fits_baranyi_without_lag",-108.896628556405,"mumax",0.00314257648491179,0.000167052039105256,18.8119612412017,3.71539945218135e-18
"I15","2",25,"5.5","fits_baranyi_without_lag",-76.4414669140062,"log10_nmax",-0.522070044980007,0.0204987570331709,-25.468375674447,7.0990125730028e-22
"I15","2",25,"5.5","fits_baranyi_without_lag",-76.4414669140062,"log10_n0",-1.39481533589296,0.0357695926971945,-38.994442785544,2.90535144462521e-27
"I15","2",25,"5.5","fits_baranyi_without_lag",-76.4414669140062,"mumax",0.00316510724589103,0.000278255237972218,11.3748343749311,2.09883348001861e-12
"I15","2",30,"5.5","fits_baranyi_without_lag",-65.7162756017936,"log10_nmax",-0.549399221553563,0.0251949974181395,-21.8058852094986,5.93251537640753e-20
"I15","2",30,"5.5","fits_baranyi_without_lag",-65.7162756017936,"log10_n0",-1.38311776790963,0.0413577283354642,-33.4427886534476,2.63301013308742e-25
"I15","2",30,"5.5","fits_baranyi_without_lag",-65.7162756017936,"mumax",0.00288132333504574,0.00031259750224738,9.21735878991621,2.94704455260589e-10
