Parameter,Mean,SD,Q05,Q50,Q95,n_eff,Rhat
mu_kappa,0.7604716712754096,0.059188338832479495,0.6649948581543543,0.7598353104907813,0.8539043884275118,3591.0411373077977,0.9999169177162118
sigma_kappa,0.10851053331897498,0.06737400446267522,0.018634026408193605,0.09942461274705028,0.22714176235817687,2162.124351959113,1.0019252949306285
sigma_delta,1.2811652504979834,0.2678102021059452,0.9109872876214332,1.2511016055890183,1.7657918203078995,1153.8884170607746,1.0072538729423195
mu_phi,2.0460289693340843,0.17924607846104013,1.774464405862304,2.038260413814287,2.3500318157870255,2305.5673848975794,1.0012336994278266
sigma_phi,0.4375480871596936,0.16656739444066046,0.23761882963953204,0.40754041740841784,0.7509479912307835,2421.398485268573,1.0010888571824363
