"Id","Rep","SalinityLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D17","1",0,"5.5","fits_baranyi_without_lag",-72.3990680387173,"log10_nmax",-0.580519489092567,0.0270864034743743,-21.4321362244264,2.4989346686132e-19
"D17","1",0,"5.5","fits_baranyi_without_lag",-72.3990680387173,"log10_n0",-1.34171952917908,0.0334468248995129,-40.1150044349536,5.84820482341977e-27
"D17","1",0,"5.5","fits_baranyi_without_lag",-72.3990680387173,"mumax",0.00211518633678044,0.000225635921785178,9.3743333067075,2.79929813106391e-10
"D17","1",5,"5.5","fits_baranyi_without_lag",-80.8697283831787,"log10_nmax",-0.616194541726773,0.0238641292087551,-25.8209522893762,1.46248893142429e-21
"D17","1",5,"5.5","fits_baranyi_without_lag",-80.8697283831787,"log10_n0",-1.37218000390059,0.029273797708565,-46.8740003453367,6.83644517812649e-29
"D17","1",5,"5.5","fits_baranyi_without_lag",-80.8697283831787,"mumax",0.00209666501506306,0.00019773588879632,10.6033610176995,1.71847461224362e-11
"D17","1",10,"5.5","fits_baranyi_without_lag",-96.2597807512182,"log10_nmax",-0.677176356917004,0.0166492724393239,-40.6730299708222,3.94432296156536e-27
"D17","1",10,"5.5","fits_baranyi_without_lag",-96.2597807512182,"log10_n0",-1.32588595437566,0.0245222798605201,-54.0686250184382,1.13814742751203e-30
"D17","1",10,"5.5","fits_baranyi_without_lag",-96.2597807512182,"mumax",0.00238670582995487,0.000207048748060675,11.5272652083627,2.39006533692486e-12
"D17","1",15,"5.5","fits_baranyi_without_lag",-63.1810288765955,"log10_nmax",-0.769942045283931,0.0285073964462015,-27.0085009950645,4.17505815003074e-22
"D17","1",15,"5.5","fits_baranyi_without_lag",-63.1810288765955,"log10_n0",-1.34104632727542,0.0414227707052628,-32.3746167734029,2.56746054569125e-24
"D17","1",15,"5.5","fits_baranyi_without_lag",-63.1810288765955,"mumax",0.00225713618734909,0.000380671808932387,5.92934946687894,1.93380869742174e-06
"D17","1",20,"5.5","fits_baranyi_without_lag",-75.8303870806616,"log10_nmax",-0.861357155296872,0.0228329214661679,-37.7243515059239,3.36355774876207e-26
"D17","1",20,"5.5","fits_baranyi_without_lag",-75.8303870806616,"log10_n0",-1.31746900391364,0.0351812704303616,-37.4480224220858,4.14562764432425e-26
"D17","1",20,"5.5","fits_baranyi_without_lag",-75.8303870806616,"mumax",0.00226149062694289,0.000401918854623851,5.62673435427501,4.45467069403503e-06
"D17","1",25,"5.5","fits_baranyi_without_lag",-76.3762138836117,"log10_nmax",-0.903654830190752,0.0228606156743251,-39.5288929687775,8.89557510621775e-27
"D17","1",25,"5.5","fits_baranyi_without_lag",-76.3762138836117,"log10_n0",-1.33604139588745,0.0349325023058824,-38.246369647057,2.27517524543146e-26
"D17","1",25,"5.5","fits_baranyi_without_lag",-76.3762138836117,"mumax",0.00221155642755362,0.000414108890411492,5.34051907302942,9.84712811163532e-06
"D17","1",30,"5.5","fits_buchanan_without_lag",-63.9066346742117,"log10_nmax",-0.943562279460074,0.0223957854473487,-42.1312430268783,1.44372400530148e-27
"D17","1",30,"5.5","fits_buchanan_without_lag",-63.9066346742117,"log10_n0",-1.32257785711329,0.0339809810161879,-38.9211205080642,1.38302495321959e-26
"D17","1",30,"5.5","fits_buchanan_without_lag",-63.9066346742117,"mumax",0.000746569910652646,0.000126143179634587,5.9184326319926,1.99271660521713e-06
"D17","1",35,"5.5","fits_baranyi_without_lag",-83.135640176966,"log10_nmax",-0.916798798303442,0.0189887609704127,-48.2811279646919,2.93005552911185e-29
"D17","1",35,"5.5","fits_baranyi_without_lag",-83.135640176966,"log10_n0",-1.32887893016858,0.0326898537336733,-40.6511127579542,4.0054174918437e-27
"D17","1",35,"5.5","fits_baranyi_without_lag",-83.135640176966,"mumax",0.00251235615798996,0.000444166200038403,5.65634250821592,4.10451586888744e-06
"D17","2",0,"5.5","fits_baranyi_without_lag",-68.377640431695,"log10_nmax",-0.6118704175282,0.0297441736188148,-20.5711016002529,7.64414122986378e-19
"D17","2",0,"5.5","fits_baranyi_without_lag",-68.377640431695,"log10_n0",-1.31667251127799,0.0356393476937505,-36.9443493352397,6.09181415410826e-26
"D17","2",0,"5.5","fits_baranyi_without_lag",-68.377640431695,"mumax",0.00199934441857974,0.0002500385936488,7.99614327293802,8.09115432184144e-09
"D17","2",5,"5.5","fits_baranyi_without_lag",-76.4908963193322,"log10_nmax",-0.653504778562839,0.0251797600990575,-25.9535744578957,1.26811905708782e-21
"D17","2",5,"5.5","fits_baranyi_without_lag",-76.4908963193322,"log10_n0",-1.36096446532492,0.031784706394808,-42.8182173029993,9.09700279121602e-28
"D17","2",5,"5.5","fits_baranyi_without_lag",-76.4908963193322,"mumax",0.0021016395866893,0.000228575088664815,9.19452596066215,4.28059485508399e-10
"D17","2",10,"5.5","fits_baranyi_without_lag",-82.8142914575915,"log10_nmax",-0.696600810988907,0.0198430708528997,-35.1054943135031,2.59504970991137e-25
"D17","2",10,"5.5","fits_baranyi_without_lag",-82.8142914575915,"log10_n0",-1.3313452448692,0.0307790103098736,-43.2549725109947,6.80752176407484e-28
"D17","2",10,"5.5","fits_baranyi_without_lag",-82.8142914575915,"mumax",0.00251076265924301,0.000274679800814109,9.14068909254154,4.86510472576431e-10
"D17","2",15,"5.5","fits_baranyi_without_lag",-60.3916441910226,"log10_nmax",-0.771787961165063,0.030677238947836,-25.1583254437409,3.01282818648677e-21
"D17","2",15,"5.5","fits_baranyi_without_lag",-60.3916441910226,"log10_n0",-1.3425174757753,0.042791886277417,-31.3731782486019,6.23172111971749e-24
"D17","2",15,"5.5","fits_baranyi_without_lag",-60.3916441910226,"mumax",0.00216168795334246,0.000382902377591878,5.64553285601826,4.22902357749747e-06
"D17","2",20,"5.5","fits_baranyi_without_lag",-96.4879021257463,"log10_nmax",-0.815119231304314,0.0175570272408845,-46.4269503100258,8.99473294992552e-29
"D17","2",20,"5.5","fits_baranyi_without_lag",-96.4879021257463,"log10_n0",-1.33518919121751,0.0245536156634972,-54.3785163666334,9.65828556080131e-31
