"best_model_name","n","perc","Id"
"fits_baranyi_without_lag",30,62.5,"D11"
"fits_buchanan_without_lag",14,29.2,"D11"
"fits_gompertz",4,8.3,"D11"
"fits_gompertz",21,43.8,"D14"
"fits_baranyi_without_lag",14,29.2,"D14"
"fits_buchanan_without_lag",7,14.6,"D14"
"fits_baranyi",4,8.3,"D14"
"fits_buchanan",1,2.1,"D14"
NA,1,2.1,"D14"
"fits_baranyi_without_lag",42,87.5,"D17"
"fits_buchanan_without_lag",3,6.2,"D17"
"fits_baranyi",2,4.2,"D17"
"fits_gompertz",1,2.1,"D17"
"fits_baranyi_without_lag",33,68.8,"I11"
"fits_buchanan_without_lag",7,14.6,"I11"
"fits_gompertz",7,14.6,"I11"
"fits_baranyi",1,2.1,"I11"
"fits_baranyi_without_lag",47,97.9,"I15"
"fits_gompertz",1,2.1,"I15"
"fits_baranyi_without_lag",24,50,"I18"
"fits_buchanan_without_lag",24,50,"I18"
"fits_baranyi_without_lag",35,72.9,"I2"
"fits_buchanan_without_lag",13,27.1,"I2"
"fits_baranyi_without_lag",40,83.3,"I20"
"fits_buchanan_without_lag",3,6.2,"I20"
"fits_gompertz",3,6.2,"I20"
"fits_baranyi",2,4.2,"I20"
"fits_baranyi_without_lag",25,52.1,"I22"
"fits_buchanan_without_lag",23,47.9,"I22"
"fits_buchanan_without_lag",25,52.1,"I23"
"fits_baranyi_without_lag",21,43.8,"I23"
"fits_gompertz",1,2.1,"I23"
NA,1,2.1,"I23"
"fits_baranyi_without_lag",26,54.2,"I8"
"fits_buchanan_without_lag",9,18.8,"I8"
"fits_baranyi",7,14.6,"I8"
"fits_gompertz",6,12.5,"I8"
"fits_baranyi_without_lag",43,89.6,"I9"
"fits_gompertz",3,6.2,"I9"
"fits_baranyi",1,2.1,"I9"
"fits_buchanan_without_lag",1,2.1,"I9"
