"Id","Rep","TempLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D14","1",15,"Control","fits_baranyi",-87.826189536677,"log10_nmax",-0.408783973740345,0.0101413618148557,-40.3085878606099,3.51417243965237e-14
"D14","1",15,"Control","fits_baranyi",-87.826189536677,"log10_n0",-1.31490499500082,0.00785680410558717,-167.358760296156,1.39181547232308e-21
"D14","1",15,"Control","fits_baranyi",-87.826189536677,"mumax",0.0023626749224137,9.77010702049916e-05,24.1826923436607,1.50380441401414e-11
"D14","1",15,"Control","fits_baranyi",-87.826189536677,"lag",598.141917016206,30.4657006776006,19.6332893618948,1.73099182586895e-10
"D14","2",15,"Control","fits_gompertz",-103.025101081623,"log10_nmax",-0.365835712364893,0.00872573861270052,-41.9260453014728,2.1985182470672e-14
"D14","2",15,"Control","fits_gompertz",-103.025101081623,"log10_n0",-1.34940962042836,0.0112152137407954,-120.319563373087,7.28382805854447e-20
"D14","2",15,"Control","fits_gompertz",-103.025101081623,"mumax",0.00122000152211711,1.65455738187498e-05,73.7358241836608,2.57586114982573e-17
"D14","2",15,"Control","fits_gompertz",-103.025101081623,"lag",113.67304603372,29.4625291603912,3.85822430297462,0.00227595411679019
"D14","3",15,"Control","fits_gompertz",-80.9299204573966,"log10_nmax",-0.383027709353803,0.0164749903205944,-23.2490400237142,2.39002977377823e-11
"D14","3",15,"Control","fits_gompertz",-80.9299204573966,"log10_n0",-1.34641268705259,0.0240128130836454,-56.0705937435378,6.82903807585854e-16
"D14","3",15,"Control","fits_gompertz",-80.9299204573966,"mumax",0.00122164728588591,3.32257579393742e-05,36.7680787934171,1.05042329142139e-13
"D14","3",15,"Control","fits_gompertz",-80.9299204573966,"lag",84.0935346624353,61.5151706374211,1.36703733064636,0.196676732698461
"D14","1",15,"Sal","fits_buchanan_without_lag",-101.852028065574,"log10_nmax",-1.0555173279107,0.00773785242612357,-136.409596588737,6.64404300427544e-22
"D14","1",15,"Sal","fits_buchanan_without_lag",-101.852028065574,"log10_n0",-1.28998548764234,0.00351479859617561,-367.015478225682,1.72228622612517e-27
"D14","1",15,"Sal","fits_buchanan_without_lag",-101.852028065574,"mumax",0.000194517558679636,6.70317507482647e-06,29.0187197124151,3.32715658598824e-13
"D14","2",15,"Sal","fits_baranyi_without_lag",-104.43363760377,"log10_nmax",0,3.44103638798134,0,1
"D14","2",15,"Sal","fits_baranyi_without_lag",-104.43363760377,"log10_n0",-1.29768971574727,0.00421709316196758,-307.721377239341,1.70155179269411e-26
"D14","2",15,"Sal","fits_baranyi_without_lag",-104.43363760377,"mumax",0.000155571020261089,8.15980341917691e-05,1.90655353161414,0.0789234499243604
"D14","3",15,"Sal","fits_baranyi_without_lag",-112.544392126736,"log10_nmax",-0.903003415840863,0.137168068373478,-6.58318970696727,1.76058104257719e-05
"D14","3",15,"Sal","fits_baranyi_without_lag",-112.544392126736,"log10_n0",-1.29259656499629,0.00337453815189565,-383.043992040859,9.88076546861274e-28
"D14","3",15,"Sal","fits_baranyi_without_lag",-112.544392126736,"mumax",0.00024630517820177,7.50324285659242e-05,3.28264968773287,0.00594283833077132
"D14","1",20,"Control","fits_gompertz",-75.8387392212786,"log10_nmax",-0.368727411917506,0.0131284360377066,-28.0861643274547,2.57013880200804e-12
"D14","1",20,"Control","fits_gompertz",-75.8387392212786,"log10_n0",-1.39863596119842,0.0281435646095645,-49.6964752191732,2.88911010025208e-15
"D14","1",20,"Control","fits_gompertz",-75.8387392212786,"mumax",0.00165094462332329,4.60492805196318e-05,35.8516920284879,1.41839651573992e-13
"D14","1",20,"Control","fits_gompertz",-75.8387392212786,"lag",61.0264405797247,52.5251555126962,1.1618516877113,0.267883882086678
