"Id","Rep","TempLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I11","1",15,"Control","fits_gompertz",-80.6613048526628,"log10_nmax",-2.04224333363587,0.327532056733886,-6.2352471816069,4.34967364883084e-05
"I11","1",15,"Control","fits_gompertz",-80.6613048526628,"log10_n0",-0.697773643170284,0.00782326669918188,-89.1921073383901,2.63533140806539e-18
"I11","1",15,"Control","fits_gompertz",-80.6613048526628,"mumax",0.00110544489332689,8.45160810549684e-05,13.0796989108844,1.84137767452065e-08
"I11","1",15,"Control","fits_gompertz",-80.6613048526628,"lag",1183.86224769902,71.1711774007964,16.6340124040968,1.18491783348271e-09
"I11","2",15,"Control","fits_gompertz",-80.1191934959792,"log10_nmax",-1.99693712318436,0.310661131986141,-6.42802371322539,3.26444427419857e-05
"I11","2",15,"Control","fits_gompertz",-80.1191934959792,"log10_n0",-0.709413048793481,0.00791321274731091,-89.6491818742716,2.47875406661393e-18
"I11","2",15,"Control","fits_gompertz",-80.1191934959792,"mumax",0.00107967867137829,7.87388008846526e-05,13.7121553700056,1.07991783676719e-08
"I11","2",15,"Control","fits_gompertz",-80.1191934959792,"lag",1194.48267094499,68.2226712456125,17.5085884081652,6.55328899025013e-10
"I11","3",15,"Control","fits_gompertz",-80.2039074622711,"log10_nmax",-2.02636066343563,0.311387592914211,-6.50751895562487,2.90432254634861e-05
"I11","3",15,"Control","fits_gompertz",-80.2039074622711,"log10_n0",-0.709274024405502,0.00767957964681158,-92.358443694243,1.73491690982478e-18
"I11","3",15,"Control","fits_gompertz",-80.2039074622711,"mumax",0.00113402825923518,8.15442270084201e-05,13.9069104072576,9.20310586467949e-09
"I11","3",15,"Control","fits_gompertz",-80.2039074622711,"lag",1162.0964463208,65.5598692153343,17.7257285627561,5.68126496912015e-10
"I11","1",15,"Sal","fits_baranyi_without_lag",-96.3609221392041,"log10_nmax",-0.639662605617793,0.00606449102502559,-105.476717333438,1.87561532959236e-20
"I11","1",15,"Sal","fits_baranyi_without_lag",-96.3609221392041,"log10_n0",-1.24534503467937,0.00650883593140581,-191.331452782587,8.18650010264954e-24
"I11","1",15,"Sal","fits_baranyi_without_lag",-96.3609221392041,"mumax",0.00184632724541002,5.02973958158961e-05,36.7082075614441,1.62195014883615e-14
"I11","2",15,"Sal","fits_gompertz",-101.47078421971,"log10_nmax",-3.56506857256043,0.841175986749101,-4.23819584572115,0.00115113800702486
"I11","2",15,"Sal","fits_gompertz",-101.47078421971,"log10_n0",-0.655138296487235,0.00505582526378251,-129.580881914636,2.9935031189149e-20
"I11","2",15,"Sal","fits_gompertz",-101.47078421971,"mumax",0.00150154142259072,0.000230442214304008,6.51591301153628,2.86883825492317e-05
"I11","2",15,"Sal","fits_gompertz",-101.47078421971,"lag",875.661077606966,167.555464876508,5.2260967927984,0.000212576573140808
"I11","3",15,"Sal","fits_gompertz",-81.512752219917,"log10_nmax",-2.07857943461739,0.353644183053338,-5.87760108669422,7.50900004720207e-05
"I11","3",15,"Sal","fits_gompertz",-81.512752219917,"log10_n0",-0.661426694599943,0.0080776366137942,-81.883690270298,7.34013352629716e-18
"I11","3",15,"Sal","fits_gompertz",-81.512752219917,"mumax",0.00108085098496307,8.8580040799433e-05,12.2019698253513,4.0143773102863e-08
"I11","3",15,"Sal","fits_gompertz",-81.512752219917,"lag",1222.10122724509,79.2638476911889,15.4181415972435,2.83680042005654e-09
"I11","1",20,"Control","fits_baranyi_without_lag",-82.6412835768686,"log10_nmax",-0.53503508476449,0.0104260143233273,-51.3173172577939,2.14215465165413e-16
"I11","1",20,"Control","fits_baranyi_without_lag",-82.6412835768686,"log10_n0",-1.26255715105378,0.00938615896741077,-134.512653731675,7.96972577158609e-22
"I11","1",20,"Control","fits_baranyi_without_lag",-82.6412835768686,"mumax",0.00176623883566792,6.12831805776948e-05,28.8209394326178,3.63189329188426e-13
"I11","2",20,"Control","fits_baranyi_without_lag",-83.4359181592137,"log10_nmax",-0.551856239298406,0.00991453671960228,-55.6613238626992,7.48218205290624e-17
"I11","2",20,"Control","fits_baranyi_without_lag",-83.4359181592137,"log10_n0",-1.26987085054818,0.00921542084204249,-137.798465454208,5.82473794344746e-22
"I11","2",20,"Control","fits_baranyi_without_lag",-83.4359181592137,"mumax",0.00179713625108671,6.12944083328167e-05,29.3197422076189,2.91492273803887e-13
"I11","3",20,"Control","fits_baranyi_without_lag",-84.2925028522652,"log10_nmax",-0.539622002157375,0.00968090274776114,-55.7408762609635,7.34507596439122e-17
"I11","3",20,"Control","fits_baranyi_without_lag",-84.2925028522652,"log10_n0",-1.27174338410183,0.00894317838595533,-142.202618489531,3.87047761718916e-22
"I11","3",20,"Control","fits_baranyi_without_lag",-84.2925028522652,"mumax",0.00180198590856103,5.84937953985926e-05,30.8064453038447,1.54549738739664e-13
"I11","1",20,"Sal","fits_baranyi_without_lag",-78.9099427898868,"log10_nmax",-0.488104616186856,0.0121070776898729,-40.3156425266136,4.8429489128478e-15
"I11","1",20,"Sal","fits_baranyi_without_lag",-78.9099427898868,"log10_n0",-1.19757338344978,0.0105223871597317,-113.811948303214,6.98508109625047e-21
"I11","1",20,"Sal","fits_baranyi_without_lag",-78.9099427898868,"mumax",0.00170931729138048,6.94850204765812e-05,24.5997954617654,2.74879272606239e-12
"I11","2",20,"Sal","fits_baranyi_without_lag",-75.8943239942532,"log10_nmax",-0.51782443264944,0.0123551194146732,-41.9117302933116,2.93404216455537e-15
"I11","2",20,"Sal","fits_baranyi_without_lag",-75.8943239942532,"log10_n0",-1.20440324192022,0.0117699518640228,-102.328646355957,2.77986400669225e-20
"I11","2",20,"Sal","fits_baranyi_without_lag",-75.8943239942532,"mumax",0.0018002152077003,8.16281443701551e-05,22.0538543610272,1.10268994178962e-11
"I11","3",20,"Sal","fits_baranyi_without_lag",-87.7626997223006,"log10_nmax",-0.488472628475455,0.00891270068227689,-54.8063539760505,9.14273610279051e-17
"I11","3",20,"Sal","fits_baranyi_without_lag",-87.7626997223006,"log10_n0",-1.18773132832322,0.00803656285585983,-147.790958600814,2.3456683685436e-22
"I11","3",20,"Sal","fits_baranyi_without_lag",-87.7626997223006,"mumax",0.00174357125974599,5.4151872120593e-05,32.19780206053,8.76355954768262e-14
"I11","1",23,"Control","fits_baranyi_without_lag",-56.7650107640993,"log10_nmax",-0.598156545111584,0.0144248103547249,-41.4672034087198,3.36705431210765e-15
