"Id","Rep","TempLevel","pH_Level","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I18","1",20,4,"fits_gompertz",-110.238036474039,"log10_nmax",-1.35654725325502,0.0024263481903454,-559.090100362679,7.24241709858005e-30
"I18","1",20,4,"fits_gompertz",-110.238036474039,"log10_n0",-1.37169986304472,0.00259387530654202,-528.822592044095,1.49315212004849e-29
"I18","1",20,4,"fits_gompertz",-110.238036474039,"mumax",0.00141489647599919,6052.20131933253,2.33782123453097e-07,0.999999817018273
"I18","1",20,4,"fits_gompertz",-110.238036474039,"lag",874.452116494255,430536533.986477,2.03107529202556e-06,0.99999841027338
"I18","2",20,4,"fits_baranyi_without_lag",-107.522326822558,"log10_nmax",-1.34924082695175,0.00273400733170907,-493.503002462072,5.34330755604064e-33
"I18","2",20,4,"fits_baranyi_without_lag",-107.522326822558,"log10_n0",-1.33330207612953,0.0132146652433862,-100.895637655054,1.16077031910553e-22
"I18","2",20,4,"fits_baranyi_without_lag",-107.522326822558,"mumax",0.00687496731049235,0.012919094401493,0.53215551313704,0.602412128348705
"I18","1",20,5.5,"fits_baranyi_without_lag",-56.7796533633986,"log10_nmax",-1.14539012998476,0.0230090946878551,-49.7798868457583,3.7934902273572e-31
"I18","1",20,5.5,"fits_baranyi_without_lag",-56.7796533633986,"log10_n0",-1.38289801779603,0.0678333036128062,-20.3867118972951,1.61993044457565e-19
"I18","1",20,5.5,"fits_baranyi_without_lag",-56.7796533633986,"mumax",0.00410615085227846,0.0023237642014606,1.76702560857834,0.087068906265143
"I18","2",20,5.5,"fits_baranyi_without_lag",-56.2135372583097,"log10_nmax",-1.14156101239398,0.0233832245782649,-48.81965738186,6.88763915977552e-31
"I18","2",20,5.5,"fits_baranyi_without_lag",-56.2135372583097,"log10_n0",-1.35669238673752,0.0683867492047933,-19.8385272368295,3.55735612772275e-19
"I18","2",20,5.5,"fits_baranyi_without_lag",-56.2135372583097,"mumax",0.00399814397078479,0.00252011521007732,1.58649253605438,0.122776804866343
"I18","3",20,5.5,"fits_baranyi_without_lag",-60.9432596732406,"log10_nmax",-1.14639033718702,0.0219553792868415,-52.2145539919723,8.7805429296525e-32
"I18","3",20,5.5,"fits_baranyi_without_lag",-60.9432596732406,"log10_n0",-1.37623535694543,0.0631825327851346,-21.7818959810555,2.36987948188621e-20
"I18","3",20,5.5,"fits_baranyi_without_lag",-60.9432596732406,"mumax",0.00394508214972865,0.00215384123177923,1.83164946957104,0.0766284728264682
"I18","1",20,6,"fits_baranyi_without_lag",-77.7966573618012,"log10_nmax",-0.655004059781996,0.0218946646470055,-29.9161494520347,1.96565512511663e-24
"I18","1",20,6,"fits_baranyi_without_lag",-77.7966573618012,"log10_n0",-1.29429679948225,0.0384157219745504,-33.6918514856938,5.4918028544691e-26
"I18","1",20,6,"fits_baranyi_without_lag",-77.7966573618012,"mumax",0.00274816312924802,0.000357212167644361,7.69336371538185,1.11911079176022e-08
