"Id","Rep","SalinityLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I9","1",0,"5.5","fits_baranyi_without_lag",-14.7988915906364,"log10_nmax",-0.20666335708517,0.0557725739898496,-3.70546564916983,0.000920171714177229
"I9","1",0,"5.5","fits_baranyi_without_lag",-14.7988915906364,"log10_n0",-1.46555220117365,0.0843765715370443,-17.3691840575701,1.58190688282719e-16
"I9","1",0,"5.5","fits_baranyi_without_lag",-14.7988915906364,"mumax",0.00360587977329923,0.000523265595273513,6.89110808329454,1.72554927047931e-07
"I9","1",5,"5.5","fits_baranyi_without_lag",-20.7762968843894,"log10_nmax",-0.242982421662121,0.0461873829567301,-5.2607964796307,1.35983558565031e-05
"I9","1",5,"5.5","fits_baranyi_without_lag",-20.7762968843894,"log10_n0",-1.41602881066795,0.0817184022545772,-17.3281509623328,1.68103030443607e-16
"I9","1",5,"5.5","fits_baranyi_without_lag",-20.7762968843894,"mumax",0.00415982497062762,0.000610442068795909,6.81444674812932,2.10759287170071e-07
"I9","1",10,"5.5","fits_baranyi_without_lag",-6.12913717785059,"log10_nmax",-0.282936310427793,0.0599462811935857,-4.71983090183862,5.96509802571337e-05
"I9","1",10,"5.5","fits_baranyi_without_lag",-6.12913717785059,"log10_n0",-1.43143296716744,0.102287522188346,-13.9942090349171,3.65255987942668e-14
"I9","1",10,"5.5","fits_baranyi_without_lag",-6.12913717785059,"mumax",0.00393370056280412,0.000743372856095234,5.29169249394839,1.24985432268592e-05
"I9","1",15,"5.5","fits_baranyi_without_lag",-17.1610851399006,"log10_nmax",-0.298200999648635,0.0505264987998512,-5.90187340765263,2.38378319582668e-06
"I9","1",15,"5.5","fits_baranyi_without_lag",-17.1610851399006,"log10_n0",-1.38022319345831,0.0861267715068811,-16.0254839384991,1.23508912179957e-15
"I9","1",15,"5.5","fits_baranyi_without_lag",-17.1610851399006,"mumax",0.0038026420083794,0.000644608921225706,5.89914579703424,2.40138745274059e-06
"I9","1",20,"5.5","fits_baranyi_without_lag",-25.7261354782617,"log10_nmax",-0.382407615085907,0.0494054686345073,-7.74018799244451,1.55282624595927e-08
"I9","1",20,"5.5","fits_baranyi_without_lag",-25.7261354782617,"log10_n0",-1.35017557063866,0.0715224355253603,-18.8776509178008,7.80665249251138e-18
"I9","1",20,"5.5","fits_baranyi_without_lag",-25.7261354782617,"mumax",0.00281278031635533,0.000465617050348348,6.04097361608853,1.42352435075719e-06
