fold,n_samples,comp_RMSE,comp_JS,od_RMSE,od_R2,n_test_od
1,40,0.10697726215598842,0.1044871416022017,0.06616230874152344,0.9293835165195333,40
2,39,0.146883193769024,0.07611256028304375,0.14338204425771223,0.7673589331121365,39
3,29,0.14020501165291235,0.09217745591123494,0.10450510812349363,0.8709508838071909,29
4,32,0.18215487523336527,0.08889502791959628,0.11092862320689813,0.85124531184224,31
5,32,0.07848938452533276,0.08142931251156045,0.1596770944706225,0.4936125952719631,32
