fold,n,OD_min,OD_q25,OD_med,OD_q75,OD_max,OD_sd
1,40,0.0868,0.38205,0.6938,0.7921750000000001,0.9951,0.2521478678911469
2,40,0.04,0.18264999999999998,0.51325,0.6821250000000001,1.0318,0.30065728338306064
3,32,0.04,0.18317499999999998,0.61725,0.68435,1.005,0.30169224091084357
4,32,0.04,0.40002499999999996,0.6185,0.8245,1.0873,0.29052961955489093
5,32,0.3615,0.570675,0.7266999999999999,0.860025,1.2651,0.2279792476938027
