Stress,elpd_loo,n
pHTemp,506.989,22
Temp,384.069,22
SalTemp,292.67,22
pHSalTemp,285.959,19
Control,239.213,22
Sal,223.548,22
pH,215.36,22
pHSal,182.6,21
