"Id","Rep","TempLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I22","1",15,"Control","fits_baranyi_without_lag",-82.2306245095685,"log10_nmax",-0.471389738032886,0.00644442953018083,-73.1468527703272,2.16929836023896e-18
"I22","1",15,"Control","fits_baranyi_without_lag",-82.2306245095685,"log10_n0",-1.22791101377844,0.0110167930533574,-111.45811742413,9.16323262663954e-21
"I22","1",15,"Control","fits_baranyi_without_lag",-82.2306245095685,"mumax",0.00302262110515008,9.30864152357372e-05,32.4711301589542,7.86144440425383e-14
"I22","2",15,"Control","fits_baranyi_without_lag",-73.7835783468891,"log10_nmax",-0.472164213212481,0.00833118420916557,-56.6743216040078,5.92368511810331e-17
"I22","2",15,"Control","fits_baranyi_without_lag",-73.7835783468891,"log10_n0",-1.2142311115441,0.014423875822537,-84.1820275273644,3.5040937985434e-19
"I22","2",15,"Control","fits_baranyi_without_lag",-73.7835783468891,"mumax",0.00304201279181136,0.000124805816786758,24.3739664554972,3.09157109744711e-12
"I22","3",15,"Control","fits_baranyi_without_lag",-79.0356575466822,"log10_nmax",-0.448819854981377,0.00762664993852267,-58.8488862868034,3.63737072600578e-17
"I22","3",15,"Control","fits_baranyi_without_lag",-79.0356575466822,"log10_n0",-1.18792806696411,0.0118938786690842,-99.8772646009826,3.80854316359336e-20
"I22","3",15,"Control","fits_baranyi_without_lag",-79.0356575466822,"mumax",0.00272518717231729,9.52112580305255e-05,28.6225308717544,3.96798082630336e-13
"I22","1",15,"Sal","fits_gompertz",-78.9450872688061,"log10_nmax",-0.436452910327399,0.00602349760679989,-72.4583852801219,4.29988341570071e-16
"I22","1",15,"Sal","fits_gompertz",-78.9450872688061,"log10_n0",-1.28187603499672,0.027929786623713,-45.8963776654269,6.42687572769999e-14
"I22","1",15,"Sal","fits_gompertz",-78.9450872688061,"mumax",0.00237505126106703,6.1787773316171e-05,38.4388550290326,4.4690692706882e-13
"I22","1",15,"Sal","fits_gompertz",-78.9450872688061,"lag",0,33.9673930057333,0,1
"I22","2",15,"Sal","fits_gompertz",-69.1509882586569,"log10_nmax",-0.441299950328983,0.00833112638683582,-52.9700222800953,1.33686510420798e-14
"I22","2",15,"Sal","fits_gompertz",-69.1509882586569,"log10_n0",-1.2549388211638,0.0303874713152257,-41.2979022882702,2.04015507887456e-13
"I22","2",15,"Sal","fits_gompertz",-69.1509882586569,"mumax",0.00232109798495934,8.83486704858172e-05,26.2720193999066,2.81678522489784e-11
"I22","2",15,"Sal","fits_gompertz",-69.1509882586569,"lag",40.5471146546175,40.8980651162122,0.991418898165538,0.342788695976272
"I22","3",15,"Sal","fits_gompertz",-76.5892978355777,"log10_nmax",-0.438373580030859,0.00630183238772574,-69.5628752178004,6.72802122502833e-16
"I22","3",15,"Sal","fits_gompertz",-76.5892978355777,"log10_n0",-1.27331203681132,0.0234095469310278,-54.3928526495156,9.99778366764098e-15
"I22","3",15,"Sal","fits_gompertz",-76.5892978355777,"mumax",0.00247653993403718,7.23359423545138e-05,34.2366443765925,1.58142047893074e-12
"I22","3",15,"Sal","fits_gompertz",-76.5892978355777,"lag",42.4361412477169,29.7871779584668,1.4246445670982,0.182007858677905
"I22","1",20,"Control","fits_baranyi_without_lag",-57.7967356482607,"log10_nmax",-0.512319609779573,0.0101679150734226,-50.3859056729045,2.31267099200828e-14
"I22","1",20,"Control","fits_baranyi_without_lag",-57.7967356482607,"log10_n0",-1.24252708593348,0.0184482737658055,-67.3519431523475,9.59080371533514e-16
"I22","1",20,"Control","fits_baranyi_without_lag",-57.7967356482607,"mumax",0.00403113729961959,0.00021932621821224,18.3796416701933,1.32030766847503e-09
"I22","2",20,"Control","fits_baranyi_without_lag",-60.2287330830285,"log10_nmax",-0.506320840373986,0.00938910822861622,-53.9264036632165,1.09876796373663e-14
"I22","2",20,"Control","fits_baranyi_without_lag",-60.2287330830285,"log10_n0",-1.24844577592855,0.0168357266558286,-74.1545524853445,3.33521885695412e-16
"I22","2",20,"Control","fits_baranyi_without_lag",-60.2287330830285,"mumax",0.00400386901490911,0.000195818210032081,20.4468676036471,4.21581525022242e-10
"I22","3",20,"Control","fits_baranyi_without_lag",-64.4705284258444,"log10_nmax",-0.509210128870566,0.00814236734508989,-62.5383389485168,2.16393466869383e-15
"I22","3",20,"Control","fits_baranyi_without_lag",-64.4705284258444,"log10_n0",-1.26389080819382,0.0143919924154764,-87.8190296177963,5.20509923526559e-17
"I22","3",20,"Control","fits_baranyi_without_lag",-64.4705284258444,"mumax",0.00396774055109978,0.000163375672145022,24.2859937407191,6.59759474237921e-11
"I22","1",20,"Sal","fits_baranyi",-70.8267144185521,"log10_nmax",-0.442546087189513,0.00565494830659839,-78.2582020552044,2.83500855579801e-15
"I22","1",20,"Sal","fits_baranyi",-70.8267144185521,"log10_n0",-1.27125152212037,0.0117874040625349,-107.848302762516,1.15148109115599e-16
"I22","1",20,"Sal","fits_baranyi",-70.8267144185521,"mumax",0.00543230130775594,0.000302991944541087,17.9288638052201,6.23133726883096e-09
"I22","1",20,"Sal","fits_baranyi",-70.8267144185521,"lag",167.815938014817,22.3963794882956,7.4929940396178,2.07946734858678e-05
"I22","2",20,"Sal","fits_baranyi",-66.4237526857464,"log10_nmax",-0.464681773873574,0.00628216772325454,-73.9683807157,4.9774242612463e-15
"I22","2",20,"Sal","fits_baranyi",-66.4237526857464,"log10_n0",-1.2413910909083,0.0134417367139666,-92.3534746532002,5.42295200870268e-16
"I22","2",20,"Sal","fits_baranyi",-66.4237526857464,"mumax",0.00609639416153684,0.00040624448385883,15.0067124693694,3.48129159115757e-08
"I22","2",20,"Sal","fits_baranyi",-66.4237526857464,"lag",212.729892512604,22.5877793992402,9.41791969686759,2.74644037079353e-06
"I22","3",20,"Sal","fits_baranyi",-76.9589767652434,"log10_nmax",-0.459361993511717,0.00445887623785932,-103.021920548361,1.8194058400626e-16
"I22","3",20,"Sal","fits_baranyi",-76.9589767652434,"log10_n0",-1.25288921565377,0.00950868455815847,-131.762622683575,1.55608058487823e-17
"I22","3",20,"Sal","fits_baranyi",-76.9589767652434,"mumax",0.00556357071104485,0.000263022891791457,21.152420130245,1.24021143441186e-09
"I22","3",20,"Sal","fits_baranyi",-76.9589767652434,"lag",170.104994696853,18.1628640679376,9.36553805944815,2.88887469393797e-06
"I22","1",23,"Control","fits_gompertz",-22.105201999363,"log10_nmax",-1.3615231558363,0.115422165996626,-11.7960284671498,7.13303778083871e-06
"I22","1",23,"Control","fits_gompertz",-22.105201999363,"log10_n0",-0.699438017520676,0.0158877358316095,-44.0237693359118,8.14879148328143e-10
"I22","1",23,"Control","fits_gompertz",-22.105201999363,"mumax",0.00411155665258716,0.000956242165349347,4.29970231555839,0.00356790556672558
"I22","1",23,"Control","fits_gompertz",-22.105201999363,"lag",421.707619300591,37.0180590591258,11.391943014274,9.00681631215812e-06
"I22","2",23,"Control","fits_buchanan_without_lag",-40.1366798205806,"log10_nmax",-0.638616550834892,0.00959366195209146,-66.5665054724667,2.88636835045363e-12
"I22","2",23,"Control","fits_buchanan_without_lag",-40.1366798205806,"log10_n0",-1.30777363159466,0.0182830660378658,-71.5292297739418,1.62520032560994e-12
"I22","2",23,"Control","fits_buchanan_without_lag",-40.1366798205806,"mumax",0.00289221361729428,0.000136700135916011,21.157357290934,2.61714352690936e-08
"I22","3",23,"Control","fits_baranyi_without_lag",-30.9811381503072,"log10_nmax",-0.576205863291445,0.0215793224163706,-26.7017588492177,4.16344092690146e-09
"I22","3",23,"Control","fits_baranyi_without_lag",-30.9811381503072,"log10_n0",-1.33539792734516,0.030520971878781,-43.7534536137615,8.2148398904623e-11
"I22","3",23,"Control","fits_baranyi_without_lag",-30.9811381503072,"mumax",0.00464790207925573,0.000444428610161845,10.4581522723371,6.06937187145014e-06
"I22","1",23,"Sal","fits_buchanan_without_lag",-50.4579121943041,"log10_nmax",-0.521184739417887,0.00913024459748051,-57.083327160995,5.88862334982235e-15
"I22","1",23,"Sal","fits_buchanan_without_lag",-50.4579121943041,"log10_n0",-1.15117687865744,0.0241974030267043,-47.5743978552988,4.33760552157865e-14
"I22","1",23,"Sal","fits_buchanan_without_lag",-50.4579121943041,"mumax",0.002918623035506,0.00023534048022801,12.4017042570759,8.28680437614967e-08
"I22","2",23,"Sal","fits_buchanan_without_lag",-51.9465241161895,"log10_nmax",-0.518090849741684,0.00912582250852881,-56.7719621171118,6.25260939509923e-15
"I22","2",23,"Sal","fits_buchanan_without_lag",-51.9465241161895,"log10_n0",-1.1466256618244,0.0213001305244006,-53.8318608193916,1.12010697439938e-14
