,Id,estimate,TempLevel,SalinityLevel,pH_Level,Rep
154,I11,0.000939233,20,5,5.5,1
155,I11,0.000911673,20,5,5.5,2
156,I11,0.001007722,20,5,5.5,3
157,I11,0.001325901,20,25,5.5,1
158,I11,0.001276547,20,25,5.5,2
159,I11,0.001276019,20,25,5.5,3
160,I11,0.002335986,38,5,5.5,1
161,I11,0.00200544,38,5,5.5,2
162,I11,0.002261895,38,5,5.5,3
163,I11,0.001531175,38,25,5.5,1
164,I11,0.001968334,38,25,5.5,2
165,I11,0.001254797,38,25,5.5,3
166,I11,0.001627907,20,10,5.5,1
167,I11,0.001586501,20,10,5.5,2
168,I11,0.001595385,20,10,5.5,3
169,I11,0.000598707,20,30,5.5,1
170,I11,0.000569442,20,30,5.5,2
171,I11,0.00058154,20,30,5.5,3
172,I11,0.001869233,38,10,5.5,1
173,I11,0.001808831,38,10,5.5,2
174,I11,0.001842585,38,10,5.5,3
175,I11,0.00E+00,38,30,5.5,3
176,I11,0.001530148,20,15,5.5,1
177,I11,0.001500588,20,15,5.5,2
178,I11,0.001513316,20,15,5.5,3
179,I11,0.000407419,20,35,5.5,1
180,I11,0.000431058,20,35,5.5,2
181,I11,0.000368005,20,35,5.5,3
182,I11,0.002000923,38,15,5.5,1
183,I11,0.002034931,38,15,5.5,2
184,I11,0.002017472,38,15,5.5,3
185,I15,0.00280657,20,0,7.2,1
186,I15,0.002329732,20,0,7.2,2
187,I15,0.002241629,20,0,7.2,3
188,I15,0.003324852,20,20,7.2,1
189,I15,0.003326147,20,20,7.2,2
190,I15,0.00321923,20,20,7.2,3
191,I15,0.002065357,38,0,7.2,1
192,I15,0.001914562,38,0,7.2,2
193,I15,0.001832237,38,0,7.2,3
194,I15,0.003498325,38,20,7.2,1
195,I15,0.003820657,38,20,7.2,2
196,I15,0.002566762,38,20,7.2,3
197,I15,0.003063086,20,5,7.2,1
198,I15,0.002381811,20,5,7.2,2
199,I15,0.002421464,20,5,7.2,3
200,I15,0.003371238,20,25,7.2,1
201,I15,0.003463583,20,25,7.2,2
202,I15,0.002347537,20,25,7.2,3
203,I15,0.003190974,38,5,7.2,1
204,I15,0.003870472,38,5,7.2,2
205,I15,0.003412846,38,5,7.2,3
206,I15,0.002995152,38,25,7.2,1
207,I15,0.002922994,38,25,7.2,2
208,I15,0.003142165,38,25,7.2,3
209,I15,0.002625199,20,10,7.2,1
210,I15,0.002431976,20,10,7.2,2
211,I15,0.00328268,20,10,7.2,3
212,I15,0.003366883,20,30,7.2,1
213,I15,0.002833675,20,30,7.2,2
214,I15,0.003288257,20,30,7.2,3
215,I15,0.003923601,38,10,7.2,1
216,I15,0.004373656,38,10,7.2,2
217,I15,0.003960228,38,10,7.2,3
218,I15,0.002920665,38,30,7.2,1
219,I15,0.002713206,38,30,7.2,2
220,I15,0.001918469,38,30,7.2,3
221,I15,0.003318896,20,15,7.2,1
222,I15,0.003228069,20,15,7.2,2
223,I15,0.003256886,20,15,7.2,3
224,I15,0.002577874,20,35,7.2,1
225,I15,0.00239563,20,35,7.2,2
226,I15,0.002402108,20,35,7.2,3
227,I15,0.003195502,38,15,7.2,1
228,I15,0.003664358,38,15,7.2,2
229,I15,0.004010095,38,15,7.2,3
230,I15,0.002812528,38,35,7.2,1
231,I15,0.002329157,38,35,7.2,2
232,I15,0.001693669,38,35,7.2,3
233,I15,0.002412328,20,0,5.5,1
234,I15,0.002304739,20,0,5.5,2
235,I15,0.002027629,20,0,5.5,3
236,I15,0.002347972,20,20,5.5,1
237,I15,0.003057273,20,20,5.5,2
238,I15,0.00284082,20,20,5.5,3
239,I15,0.001796064,38,0,5.5,1
240,I15,0.001572337,38,0,5.5,2
241,I15,0.001662392,38,0,5.5,3
242,I15,0.003497481,38,20,5.5,1
243,I15,0.003413994,38,20,5.5,2
244,I15,0.002651684,38,20,5.5,3
245,I15,0.002205612,20,5,5.5,1
246,I15,0.002098893,20,5,5.5,2
247,I15,0.002231016,20,5,5.5,3
248,I15,0.002366084,20,25,5.5,1
249,I15,0.002298146,20,25,5.5,2
250,I15,0.002220659,20,25,5.5,3
251,I15,0.003123732,38,5,5.5,1
252,I15,0.003088197,38,5,5.5,2
253,I15,0.003014411,38,5,5.5,3
254,I15,0.002500745,38,25,5.5,1
255,I15,0.002990606,38,25,5.5,2
256,I15,0.00266575,38,25,5.5,3
257,I15,0.002439189,20,10,5.5,1
258,I15,0.002507364,20,10,5.5,2
259,I15,0.002417066,20,10,5.5,3
260,I15,0.003014941,20,30,5.5,1
261,I15,0.00228471,20,30,5.5,2
262,I15,0.002899474,20,30,5.5,3
263,I15,0.003904953,38,10,5.5,1
264,I15,0.003724384,38,10,5.5,2
265,I15,0.00418146,38,10,5.5,3
266,I15,0.001916482,38,30,5.5,1
267,I15,0.002085786,38,30,5.5,2
268,I15,0.003912344,38,30,5.5,3
269,I15,0.003181198,20,15,5.5,1
270,I15,0.003069299,20,15,5.5,2
271,I15,0.003145794,20,15,5.5,3
272,I15,0.002796274,20,35,5.5,1
273,I15,0.002037671,20,35,5.5,2
274,I15,0.002841165,20,35,5.5,3
275,I15,0.003075087,38,15,5.5,1
276,I15,0.00403339,38,15,5.5,2
277,I15,0.003988378,38,15,5.5,3
278,I15,0.00134938,38,35,5.5,1
279,I15,0.001723468,38,35,5.5,2
280,I15,0.001591033,38,35,5.5,3
281,I20,0.002678715,20,0,7.2,1
282,I20,0.00201247,20,0,7.2,2
283,I20,0.002922953,20,0,7.2,3
284,I20,0.001987978,20,20,7.2,1
285,I20,0.00200992,20,20,7.2,2
286,I20,0.001872358,20,20,7.2,3
287,I20,0.004397417,38,0,7.2,1
288,I20,0.004313704,38,0,7.2,2
289,I20,0.003176355,38,0,7.2,3
290,I20,0.001972002,38,20,7.2,1
291,I20,0.00225377,38,20,7.2,2
292,I20,0.002160821,38,20,7.2,3
293,I20,0.002559987,20,5,7.2,1
294,I20,0.002537528,20,5,7.2,2
295,I20,0.002598041,20,5,7.2,3
296,I20,0.001711119,20,25,7.2,1
297,I20,0.001734865,20,25,7.2,2
298,I20,0.00162228,20,25,7.2,3
299,I20,0.00420308,38,5,7.2,1
300,I20,0.003902539,38,5,7.2,2
301,I20,0.003696414,38,5,7.2,3
302,I20,0.001771828,38,25,7.2,1
303,I20,0.002118445,38,25,7.2,2
304,I20,0.001695572,38,25,7.2,3
305,I20,0.002591839,20,10,7.2,1
306,I20,0.002522117,20,10,7.2,2
307,I20,0.00258951,20,10,7.2,3
308,I20,0.001142953,20,30,7.2,1
309,I20,0.001070141,20,30,7.2,2
310,I20,0.001009434,20,30,7.2,3
311,I20,0.004162344,38,10,7.2,1
312,I20,0.002851016,38,10,7.2,2
313,I20,0.003773463,38,10,7.2,3
314,I20,0.001047715,38,30,7.2,1
315,I20,0.001170242,38,30,7.2,2
316,I20,0.001150402,38,30,7.2,3
317,I20,0.002162198,20,15,7.2,1
318,I20,0.002240347,20,15,7.2,2
319,I20,0.001688757,20,15,7.2,3
320,I20,0.000447682,20,35,7.2,1
321,I20,0.000340605,20,35,7.2,2
322,I20,0.000448536,20,35,7.2,3
323,I20,0.003804909,38,15,7.2,1
324,I20,0.002733439,38,15,7.2,2
325,I20,0.003637331,38,15,7.2,3
326,I20,0.000284873,38,35,7.2,1
327,I20,0.00030409,38,35,7.2,2
328,I20,0.000510502,38,35,7.2,3
329,I20,0.002735417,20,0,5.5,1
330,I20,0.002671481,20,0,5.5,2
331,I20,0.00272337,20,0,5.5,3
332,I20,0.001921226,20,20,5.5,1
333,I20,0.001874157,20,20,5.5,2
334,I20,0.001847918,20,20,5.5,3
335,I20,0.004095768,38,0,5.5,1
336,I20,0.003642996,38,0,5.5,2
337,I20,0.003455333,38,0,5.5,3
338,I20,0.002660318,38,20,5.5,1
339,I20,0.002943008,38,20,5.5,2
340,I20,0.002977257,38,20,5.5,3
341,I20,0.00251915,20,5,5.5,1
342,I20,0.002549407,20,5,5.5,2
343,I20,0.002531827,20,5,5.5,3
344,I20,0.001109062,20,25,5.5,1
346,I20,0.001602151,20,25,5.5,3
347,I20,0.004129713,38,5,5.5,1
348,I20,0.003552804,38,5,5.5,2
349,I20,0.003588706,38,5,5.5,3
350,I20,0.002058361,38,25,5.5,1
351,I20,0.002052512,38,25,5.5,2
352,I20,0.002092633,38,25,5.5,3
353,I20,0.002257706,20,10,5.5,1
354,I20,0.002424727,20,10,5.5,2
355,I20,0.002306688,20,10,5.5,3
356,I20,0.00045039,20,30,5.5,1
357,I20,0.000464258,20,30,5.5,2
358,I20,0.000355439,20,30,5.5,3
359,I20,0.004133367,38,10,5.5,1
360,I20,0.003455694,38,10,5.5,2
361,I20,0.003396798,38,10,5.5,3
362,I20,0.000714074,38,30,5.5,1
363,I20,0.000939505,38,30,5.5,2
364,I20,0.000671982,38,30,5.5,3
365,I20,0.002106006,20,15,5.5,1
366,I20,0.002110447,20,15,5.5,2
367,I20,0.002114437,20,15,5.5,3
368,I20,0.000129117,20,35,5.5,1
369,I20,0.000100374,20,35,5.5,2
370,I20,9.10E-05,20,35,5.5,3
371,I20,0.003392451,38,15,5.5,1
372,I20,0.003402245,38,15,5.5,2
373,I20,0.003518035,38,15,5.5,3
374,I20,0,38,35,5.5,2
375,I22,0.002867708,20,0,7.2,1
376,I22,0.002803956,20,0,7.2,2
377,I22,0.002819579,20,0,7.2,3
378,I22,0.002944463,38,20,7.2,1
379,I22,0.002208825,38,20,7.2,2
380,I22,0.002060125,38,20,7.2,3
382,I22,0.003907147,20,5,7.2,1
383,I22,0.003903534,20,5,7.2,2
384,I22,0.003731522,20,5,7.2,3
385,I22,0.00322288,20,25,7.2,1
386,I22,0.003463622,20,25,7.2,2
387,I22,0.002859747,20,25,7.2,3
388,I22,0.001498519,38,5,7.2,1
389,I22,0.001439904,38,5,7.2,2
390,I22,0.001587672,38,5,7.2,3
391,I22,0.002816666,38,25,7.2,1
392,I22,0.002725875,38,25,7.2,2
393,I22,0.002424229,38,25,7.2,3
394,I22,0.003233055,20,10,7.2,1
395,I22,0.00391206,20,10,7.2,2
396,I22,0.003827505,20,10,7.2,3
397,I22,0.003038728,20,30,7.2,1
398,I22,0.002894543,20,30,7.2,2
399,I22,0.00297147,20,30,7.2,3
400,I22,0.003188139,38,10,7.2,1
401,I22,0.003126305,38,10,7.2,2
402,I22,0.002674169,38,10,7.2,3
403,I22,0.001733474,38,30,7.2,1
404,I22,0.002015058,38,30,7.2,2
405,I22,0.002037036,38,30,7.2,3
406,I22,0.003191185,20,15,7.2,1
407,I22,0.004018676,20,15,7.2,2
408,I22,0.003057815,20,15,7.2,3
409,I22,0.002148019,20,35,7.2,1
410,I22,0.002568468,20,35,7.2,2
411,I22,0.002477124,20,35,7.2,3
412,I22,0.002431812,38,15,7.2,1
413,I22,0.002508936,38,15,7.2,2
414,I22,0.003936633,38,15,7.2,3
415,I22,0.00097386,38,35,7.2,1
416,I22,0.001223928,38,35,7.2,2
417,I22,0.002078999,38,35,7.2,3
421,I22,0.003399007,20,20,5.5,1
422,I22,0.003426757,20,20,5.5,2
423,I22,0.003521869,20,20,5.5,3
424,I22,0.00297092,38,20,5.5,1
425,I22,0.003019909,38,20,5.5,2
426,I22,0.00238835,38,20,5.5,3
427,I22,0.003415336,20,5,5.5,1
428,I22,0.003202108,20,5,5.5,2
429,I22,0.003351723,20,5,5.5,3
430,I22,0.003079614,20,25,5.5,1
431,I22,0.003019318,20,25,5.5,2
432,I22,0.003042993,20,25,5.5,3
433,I22,0.001715895,38,5,5.5,1
434,I22,0.001496393,38,5,5.5,2
435,I22,0.001510417,38,5,5.5,3
