"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"65","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I2",0.0157885122263107
"66","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I23",0.111459067303427
"67","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","D14",0.000495837574049427
"68","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I15",0.131814504553877
"69","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I22",0.0562906130118218
"70","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I8",0.0203815339648738
"71","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I11",0.00942091390693912
"72","M1.20.C14","Com14","M1",20,"Non_evo","Control","Eight","I18",0.183198935254052
"73","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I23",0.0750721395606771
"74","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","D14",0.000385370943030895
"75","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I20",0.401857299959583
"76","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I9",0.284093579344117
"77","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I22",0.00964367286706582
"78","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","D11",0.0029889746313128
"79","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","D17",0.000563957477606188
"80","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I8",0.00717165925689203
"81","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I15",0.172289009408691
"82","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I2",0.0192685471515448
"83","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I11",0.00212423983231664
"84","M1.20.C15","Com15","M1",20,"Non_evo","Control","Eight","I18",0.0245415495671626
"85","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","D17",0.000991959903936515
"86","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I2",0.0214785423410254
"87","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I20",0.250955414012739
"88","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I22",0.0873237965960113
"89","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","D14",0.000261042079983293
"90","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I23",0.0603529288921374
"91","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","D11",0.00856218022345202
"92","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I18",0.404072256447739
"93","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I15",0.0654589119766106
"94","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I8",0.0168424350005221
"95","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I9",0.0786676412237653
"96","M1.20.C16","Com16","M1",20,"Non_evo","Control","Eight","I11",0.0050328913020779
"97","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","D17",0
"98","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I22",0
"99","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","D11",0.0024266510384235
"100","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I20",0.398483572030329
"101","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","D14",0
"102","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I23",0.14373099886451
"103","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I8",0.0034522544961723
"104","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I11",0.0002106149957877
"105","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I18",0.0070693381194828
"106","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I2",0.0163547122816014
"107","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I9",0.105371598109959
"108","M1.20.C17","Com17","M1",20,"Non_evo","Control","Eight","I15",0.322900260063734
"109","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I22",0.0294481322400104
"110","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I8",0.0127228947025901
"111","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","D14",0.000715866198099701
"112","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I23",0.131296368606013
"113","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I20",0.364668749186516
"114","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","D11",0.00732135884420148
"115","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I2",0.0171807887543928
"116","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","D17",0.00130157490563582
"117","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I18",0.137120916308734
"118","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I11",0.00628009891969283
"119","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I9",0.0394051802681244
"120","M1.20.C18","Com18","M1",20,"Non_evo","Control","Eight","I15",0.25253807106599
"121","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","D14",0.00106571075641243
"122","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","D17",0
"123","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I22",0.00368154624942476
"124","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I18",0.0292343837043137
"125","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I2",0.045147382953472
"126","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I23",0.10901736624119
"127","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I20",0.410056434228692
"128","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","D11",0.00457771211277157
"129","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I11",0.00205875941579674
"130","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I9",0.148279119335384
"131","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I8",0.00893743793445879
"132","M1.20.C19","Com19","M1",20,"Non_evo","Control","Eight","I15",0.237944147068084
"133","M1.20.C2","Com2","M1",20,NA,"Control","Two","I9",0.927285640812128
"134","M1.20.C2","Com2","M1",20,NA,"Control","Two","D11",0
"135","M1.20.C2","Com2","M1",20,NA,"Control","Two","D14",0.000310221808593144
"136","M1.20.C2","Com2","M1",20,NA,"Control","Two","I8",0.0106455062738279
"137","M1.20.C2","Com2","M1",20,NA,"Control","Two","I22",0.0104250855150907
"138","M1.20.C2","Com2","M1",20,NA,"Control","Two","I20",0.00447372502918534
"139","M1.20.C2","Com2","M1",20,NA,"Control","Two","I23",0.00151845411574539
"140","M1.20.C2","Com2","M1",20,NA,"Control","Two","D17",0.000759227057872695
"141","M1.20.C2","Com2","M1",20,NA,"Control","Two","I11",0.000555133762745626
"142","M1.20.C2","Com2","M1",20,NA,"Control","Two","I18",0.00224502624639775
"143","M1.20.C2","Com2","M1",20,NA,"Control","Two","I15",0.0299445682610435
"144","M1.20.C2","Com2","M1",20,NA,"Control","Two","I2",0.01183741111737
"145","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","D14",0.000201436916672262
"146","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","D11",0.00331699456120325
"147","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I9",0.15991405358222
"148","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I15",0.144013966292889
"149","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I23",0.0527764721681327
"150","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I22",0.0107298730947425
"151","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","D17",0.000322299066675619
"152","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I8",0.043456657490096
"153","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I18",0.174659235882629
"154","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I20",0.351601423487544
"155","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I2",0.0564291949237897
"156","M1.20.C20","Com20","M1",20,"Non_evo","Control","Eight","I11",0.00257839253340496
"157","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I18",0.0355183828820905
"158","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I15",0.260526778717756
"159","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I8",0.0140890118501223
"160","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","D17",0.000463769970094833
"161","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I22",0.0249316339095808
"162","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I2",0.0311525483360253
"163","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I23",0.116774080056292
"164","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","D14",0
"165","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I11",0.00623690649437879
"166","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I20",0.356031408421423
"167","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","D11",0.00457373142921111
"168","M1.20.C21","Com21","M1",20,"Non_evo","Control","Eight","I9",0.149701747933025
"169","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I18",0.0675075603873981
"170","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I22",0.0287868927764805
"171","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","D14",0.000421084867741071
"172","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I23",0.213681430157333
"173","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I20",0.359156681851242
"174","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I8",0.00804846304023274
"175","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I9",0.0258297285916625
"176","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","D17",0.000660337633503043
"177","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I15",0.268891398384565
"178","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I2",0.0145178578264365
"179","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","I11",0.0053018412892853
"180","M1.20.C22","Com22","M1",20,"Non_evo","Control","Eight","D11",0.00719672319412012
