"","Id","Stress","meanGrowth","sdGrowth","SampleID","Com_Id","Media","Temp","Evo_status","Diversity","Abundance"
"42","D11","pHTemp",0.00244192466666667,0.00127820188600921,"M2.38.C11","Com11","M2",38,NA,"Four",0.00424371021521673
"43","D11","pHTemp",0.00244192466666667,0.00127820188600921,"M2.38.C22","Com22","M2",38,"Non_evo","Eight",0.00415064952279958
"44","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C15","Com15","M3",20,"Non_evo","Eight",0.00524961303918095
"45","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C11","Com11","M3",20,NA,"Four",0.0194629199831773
"46","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C12","Com12","M3",20,NA,"Four",0.0812881693561774
"47","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C14","Com14","M3",20,"Non_evo","Eight",0.00270174385285048
"48","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C18","Com18","M3",20,"Non_evo","Eight",0.00614983227730153
"49","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C22","Com22","M3",20,"Non_evo","Eight",0.00885828505010302
"50","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C17","Com17","M3",20,"Non_evo","Eight",0.00350398461967813
"51","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C16","Com16","M3",20,"Non_evo","Eight",0.00536896736860944
"52","D11","Sal",0.00158392544444444,0.000385897169349916,"M3.20.C6","Com6","M3",20,NA,"Two",0.137680800884007
"53","D11","SalTemp",0,0,"M3.38.C16","Com16","M3",38,"Non_evo","Eight",0.000520131652995447
"54","D11","SalTemp",0,0,"M3.38.C11","Com11","M3",38,NA,"Four",0.0114243250747195
"55","D11","SalTemp",0,0,"M3.38.C6","Com6","M3",38,NA,"Two",0.294607972915513
"56","D11","SalTemp",0,0,"M3.38.C12","Com12","M3",38,NA,"Four",0.0333170932803658
"57","D11","SalTemp",0,0,"M3.38.C18","Com18","M3",38,"Non_evo","Eight",0.000292525961679099
"58","D11","SalTemp",0,0,"M3.38.C15","Com15","M3",38,"Non_evo","Eight",9.40431501320523e-05
"59","D11","SalTemp",0,0,"M3.38.C14","Com14","M3",38,"Non_evo","Eight",0.000155072925083454
"60","D11","SalTemp",0,0,"M3.38.C22","Com22","M3",38,"Non_evo","Eight",0.000619027025193552
"61","D11","SalTemp",0,0,"M3.38.C17","Com17","M3",38,"Non_evo","Eight",0.000305570467027295
"62","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C17","Com17","M1",38,"Non_evo","Eight",0.000260406070716524
"63","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C12","Com12","M1",38,NA,"Four",0.760674157303371
"64","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C16","Com16","M1",38,"Non_evo","Eight",9.08400224622601e-05
"65","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C18","Com18","M1",38,"Non_evo","Eight",0.000455591984835295
"66","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C14","Com14","M1",38,"Non_evo","Eight",0.000287887148237891
"67","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C22","Com22","M1",38,"Non_evo","Eight",0.00047202057358638
"68","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C6","Com6","M1",38,NA,"Two",0.763790434286646
"69","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C11","Com11","M1",38,NA,"Four",0.00795237580604489
"70","D11","Temp",0.00167324575,0.000799078892950904,"M1.38.C15","Com15","M1",38,"Non_evo","Eight",0.000780938964260558
"71","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C9","Com9","M1",20,NA,"Four",0.00340680113837014
"72","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C20","Com20","M1",20,"Non_evo","Eight",0.000201436916672262
"73","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C16","Com16","M1",20,"Non_evo","Eight",0.000261042079983293
"74","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C1","Com1","M1",20,NA,"Two",0.00241961014879472
"75","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C15","Com15","M1",20,"Non_evo","Eight",0.000385370943030895
"76","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C7","Com7","M1",20,NA,"Four",0.00338660972145135
"77","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C13","Com13","M1",20,"Non_evo","Eight",0
"78","D14","Control",0.00151918022222222,0.000125003240060786,"M1.20.C19","Com19","M1",20,"Non_evo","Eight",0.00106571075641243
"79","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C1","Com1","M2",20,NA,"Two",0.00151593453919035
"80","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C13","Com13","M2",20,"Non_evo","Eight",0.0001664856465589
"81","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C7","Com7","M2",20,NA,"Four",0.0050387713846061
"82","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C9","Com9","M2",20,NA,"Four",0.00614965824193292
"83","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C20","Com20","M2",20,"Non_evo","Eight",0.00126226404268748
"84","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C19","Com19","M2",20,"Non_evo","Eight",0.000170392308004382
"85","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C16","Com16","M2",20,"Non_evo","Eight",0.000372158617920417
"86","D14","pH",0.000887649111111111,0.000270659835021492,"M2.20.C15","Com15","M2",20,"Non_evo","Eight",0.000315530047841178
"87","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C16","Com16","M4",20,"Non_evo","Eight",0.000111771230085376
"88","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C7","Com7","M4",20,NA,"Four",0.00102598230873749
"89","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C13","Com13","M4",20,"Non_evo","Eight",0.000251882119168229
"90","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C19","Com19","M4",20,"Non_evo","Eight",0.000182186876207978
"91","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C15","Com15","M4",20,"Non_evo","Eight",0.000387492920802408
"92","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C20","Com20","M4",20,"Non_evo","Eight",0.00011660447761194
"93","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C9","Com9","M4",20,NA,"Four",0.000936649888416492
"94","D14","pHSal",0.000163482555555556,0.00013936706468003,"M4.20.C1","Com1","M4",20,NA,"Two",0.00114597810450345
"95","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C9","Com9","M4",38,NA,"Four",0.41919050725313
"96","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C20","Com20","M4",38,"Non_evo","Eight",0.000932858923662421
"97","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C19","Com19","M4",38,"Non_evo","Eight",0.000185127053501718
"98","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C13","Com13","M4",38,"Non_evo","Eight",0.00043210119024237
"99","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C16","Com16","M4",38,"Non_evo","Eight",0.00249117365625103
"100","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C15","Com15","M4",38,"Non_evo","Eight",0.000315282052983979
"101","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C1","Com1","M4",38,NA,"Two",0.0288858894887689
"102","D14","pHSalTemp",9.13958888888889e-05,0.000182252997212971,"M4.38.C7","Com7","M4",38,NA,"Four",0.0100061003145227
"103","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C20","Com20","M2",38,"Non_evo","Eight",0.00130498196054349
"104","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C9","Com9","M2",38,NA,"Four",0.631413793434348
"105","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C19","Com19","M2",38,"Non_evo","Eight",5.72688486097987e-05
"106","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C7","Com7","M2",38,NA,"Four",0.0058189981134028
"107","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C13","Com13","M2",38,"Non_evo","Eight",0.000262634301631516
"108","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C1","Com1","M2",38,NA,"Two",0.0742587247441616
"109","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C16","Com16","M2",38,"Non_evo","Eight",0
"110","D14","pHTemp",0.000405932666666667,0.000833181644320583,"M2.38.C15","Com15","M2",38,"Non_evo","Eight",0.00051536965303985
"111","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C13","Com13","M3",20,"Non_evo","Eight",0.000510439707347901
"112","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C9","Com9","M3",20,NA,"Four",0.00569779956407311
"113","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C16","Com16","M3",20,"Non_evo","Eight",0.000357931157907296
"114","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C19","Com19","M3",20,"Non_evo","Eight",0.00027454336977762
"115","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C1","Com1","M3",20,NA,"Two",0.009329059898942
"116","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C20","Com20","M3",20,"Non_evo","Eight",0
"117","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C7","Com7","M3",20,NA,"Four",0.0045924422504687
