Id,estimate,TempLevel,Stress,Rep
I15,0.003112538,20,Sal,3
I15,0.002191658,23,Control,1
I15,0.002841526,23,Control,2
I15,0.002725036,23,Control,3
I15,0.004063186,23,Sal,1
I15,0.003002473,23,Sal,2
I15,0.003996132,23,Sal,3
I15,0.00289205,27,Control,1
I15,0.002884769,27,Control,2
I15,0.002862613,27,Control,3
I15,0.004687149,27,Sal,1
I15,0.004448193,27,Sal,2
I15,0.004480828,27,Sal,3
I15,0.002590875,30,Control,1
I15,0.003212695,30,Control,2
I15,0.003151006,30,Control,3
I15,0.005093011,30,Sal,1
I15,0.004974362,30,Sal,2
I15,0.005013225,30,Sal,3
I15,0.003352146,34,Control,1
I15,0.003411436,34,Control,2
I15,0.003248797,34,Control,3
I15,0.005203902,34,Sal,1
I15,0.005257607,34,Sal,2
I15,0.005223545,34,Sal,3
I15,0.003168114,38,Sal,1
I15,0.003337981,38,Sal,2
I15,0.003216541,38,Sal,3
I15,0.001584343,15,pH,1
I15,0.001388619,15,pH,2
I15,0.001602779,15,pH,3
I15,0.002065571,15,pH_Sal,1
I15,0.00177308,15,pH_Sal,2
I15,0.001891534,15,pH_Sal,3
I15,0.002159955,20,pH,1
I15,0.002033321,20,pH,2
I15,0.002249734,20,pH,3
I15,0.002984475,20,pH_Sal,1
I15,0.002263904,20,pH_Sal,2
I15,0.002280145,20,pH_Sal,3
I15,0.002650623,23,pH,1
I15,0.002704717,23,pH,2
I15,0.002578072,23,pH,3
I15,0.00409568,23,pH_Sal,1
I15,0.004051247,23,pH_Sal,2
I15,0.004111954,23,pH_Sal,3
I15,0.002766512,27,pH,1
I15,0.002729977,27,pH,2
I15,0.002711105,27,pH,3
I15,0.004436639,27,pH_Sal,1
I15,0.004306097,27,pH_Sal,2
I15,0.004324603,27,pH_Sal,3
I15,0.00299899,30,pH,1
I15,0.002397102,30,pH,2
I15,0.002916421,30,pH,3
I15,0.004621545,30,pH_Sal,1
I15,0.004499548,30,pH_Sal,2
I15,0.004484677,30,pH_Sal,3
I15,0.002954523,34,pH,1
I15,0.002931653,34,pH,2
I15,0.002249555,34,pH,3
I15,0.004045738,34,pH_Sal,1
