Community,Qubit_ug_ml,Com_Id,Media,Temp,Evo_status,SampleID,Stress,Diversity,Sample_Type
181,15.6,Com16,M1,38,Non_evo,M1.38.C16,Temp,Eight,Sample
184,29,Com17,M1,38,Non_evo,M1.38.C17,Temp,Eight,Sample
187,22.6,Com18,M1,38,Non_evo,M1.38.C18,Temp,Eight,Sample
190,21.8,Com19,M1,38,Non_evo,M1.38.C19,Temp,Eight,Sample
57,22.2,Com2,M1,38,NA,M1.38.C2,Temp,Two,Sample
193,26.2,Com20,M1,38,Non_evo,M1.38.C20,Temp,Eight,Sample
205,2.7,Com21,M1,38,Non_evo,M1.38.C21,Temp,Eight,Sample
208,3.46,Com22,M1,38,Non_evo,M1.38.C22,Temp,Eight,Sample
61,<0.5,Com3,M1,38,NA,M1.38.C3,Temp,Two,Sample
66,0.962,Com4,M1,38,NA,M1.38.C4,Temp,Two,Sample
70,9.78,Com5,M1,38,NA,M1.38.C5,Temp,Two,Sample
74,0.496,Com6,M1,38,NA,M1.38.C6,Temp,Two,Sample
79,18.1,Com7,M1,38,NA,M1.38.C7,Temp,Four,Sample
83,12.4,Com8,M1,38,NA,M1.38.C8,Temp,Four,Sample
87,11.6,Com9,M1,38,NA,M1.38.C9,Temp,Four,Sample
211,17,Com13,M1,38,Evo,M1.38.E.C13,Temp,Eight,Sample
214,20.4,Com14,M1,38,Evo,M1.38.E.C14,Temp,Eight,Sample
217,42.6,Com15,M1,38,Evo,M1.38.E.C15,Temp,Eight,Sample
220,33.4,Com16,M1,38,Evo,M1.38.E.C16,Temp,Eight,Sample
223,20.8,Com17,M1,38,Evo,M1.38.E.C17,Temp,Eight,Sample
226,23.2,Com18,M1,38,Evo,M1.38.E.C18,Temp,Eight,Sample
232,23.8,Com20,M1,38,Evo,M1.38.E.C20,Temp,Eight,Sample
235,24.6,Com21,M1,38,Evo,M1.38.E.C21,Temp,Eight,Sample
238,21.2,Com22,M1,38,Evo,M1.38.E.C22,Temp,Eight,Sample
241,44.6,I20,M1,38,Evo,M1.38.E.I20,Temp,One,Sample
171,5.86,Blank,M2,20,NA,M2.Blank,pH,NA,Blank
2,31,Com1,M2,20,NA,M2.20.C1,pH,Two,Sample
41,46.2,Com10,M2,20,NA,M2.20.C10,pH,Four,Sample
45,28.4,Com11,M2,20,NA,M2.20.C11,pH,Four,Sample
49,36,Com12,M2,20,NA,M2.20.C12,pH,Four,Sample
287,24.4,Com13,M2,20,Non_evo,M2.20.C13,pH,Eight,Sample
289,28.8,Com14,M2,20,Non_evo,M2.20.C14,pH,Eight,Sample
291,30.2,Com15,M2,20,Non_evo,M2.20.C15,pH,Eight,Sample
293,24.2,Com16,M2,20,Non_evo,M2.20.C16,pH,Eight,Sample
